wissen	weiß	wüsste	haben_gewusst
machen	macht	machte	haben_gemacht
untersuchen	untersucht	untersuchte	haben_untersucht
wohnen	wohnt	wohnte	haben_gewohnt
sehen	sieht	sähe	haben_gesehen
gehen	geht	ginge	sein_gegangen
sprechen	spricht	spräche	haben_gesprochen
liegen	liegt	läge	haben_gelegen
fliegen	fliegt	flöge	sein_geflogen
verstehen	versteht	verstände	haben_verstanden
lesen	liest	läse	haben_gelesen
fernsehen	sieht fern	sähe fern	haben_ferngesehen
arbeiten	arbeitet	arbeitete	haben_gearbeitet
denken	denkt	dächte	haben_gedacht
sitzen	sitzt	säße	haben_gesessen
schreiben	schreibt	schriebe	haben_geschrieben
verlieren	verliert	verlöre	haben_verloren
lernen	lernt	lernte	haben_gelernt
stehen	steht	stünde	haben_gestanden
ansagen	sagt an	sagte an	haben_angesagt
vermeinen	vermeint	vermeinte	haben_vermeint
reden	redet	redete	haben_geredet
suchen	sucht	suchte	haben_gesucht
wollen	will	wollte	haben_gewollt
anstellen	stellt an	stellte an	haben_angestellt
schaffen	schafft	schüfe	haben_geschaffen
lassen	lässt	ließe	haben_gelassen
aufstehen	steht auf	stände auf	sein_aufgestanden
unterhalten	unterhält	unterhielte	haben_unterhalten
anbieten	bietet an	böte an	haben_angeboten
bekommen	bekommt	bekäme	haben_bekommen
geben	gibt	gäbe	haben_gegeben
ziehen	zieht	zöge	haben_gezogen
zunehmen	nimmt zu	nähme zu	haben_zugenommen
abnehmen	nimmt ab	nähme ab	haben_abgenommen
handeln	handelt	handelte	haben_gehandelt
scheißen	scheißt	schisse	haben_geschissen
überlegen	überlegt	überlegte	haben_überlegt
spielen	spielt	spielte	haben_gespielt
gewinnen	gewinnt	gewönne	haben_gewonnen
fallen	fällt	fiele	sein_gefallen
besuchen	besucht	besuchte	haben_besucht
leben	lebt	lebte	haben_gelebt
auseinandersetzen	setzt auseinander	setzte auseinander	haben_auseinandergesetzt
verklären	verklärt	verklärte	haben_verklärt
abbefehlen	befiehlt ab	beföhle ab	haben_abbefohlen
abbekommen	bekommt ab	bekäme ab	haben_abbekommen
übersetzen	übersetzt	übersetzte	haben_übersetzt
finden	findet	fände	haben_gefunden
bereitstellen	stellt bereit	stellte bereit	haben_bereitgestellt
sagen	sagt	sagte	haben_gesagt
bringen	bringt	brächte	haben_gebracht
tragen	trägt	trüge	haben_getragen
vorstellen	stellt vor	stellte vor	haben_vorgestellt
widersprechen	widerspricht	widerspräche	haben_widersprochen
kennen	kennt	kennte	haben_gekannt
befehlen	befiehlt	befähle	haben_befohlen
beginnen	beginnt	begönne	haben_begonnen
fahren	fährt	führe	sein_gefahren
tun	tut	täte	haben_getan
erfahren	erfährt	erführe	haben_erfahren
übertragen	überträgt	übertrüge	haben_übertragen
herbringen	bringt her	brächte her	haben_hergebracht
anziehen	zieht an	zöge an	haben_angezogen
glauben	glaubt	glaubte	haben_geglaubt
mögen	mag	möchte	haben_gemocht
fühlen	fühlt	fühlte	haben_gefühlt
ankommen	kommt an	käme an	sein_angekommen
betreffen	betrifft	beträfe	haben_betroffen
überdenken	überdenkt	überdächte	haben_überdacht
abbestellen	bestellt ab	bestellte ab	haben_abbestellt
erlegen	erlegt	erlegte	haben_erlegt
abbilden	bildet ab	bildete ab	haben_abgebildet
abbringen	bringt ab	brächte ab	haben_abgebracht
aussehen	sieht aus	sähe aus	haben_ausgesehen
blaumachen	macht blau	machte blau	haben_blaugemacht
helfen	hilft	hülfe	haben_geholfen
sicherstellen	stellt sicher	stellte sicher	haben_sichergestellt
kommen	kommt	käme	sein_gekommen
schwarzsehen	sieht schwarz	sähe schwarz	haben_schwarzgesehen
aussprechen	spricht aus	spräche aus	haben_ausgesprochen
nehmen	nimmt	nähme	haben_genommen
annehmen	nimmt an	nähme an	haben_angenommen
kleinschreiben	schreibt klein	schriebe klein	haben_kleingeschrieben
anlegen	legt an	legte an	haben_angelegt
abarbeiten	arbeitet ab	arbeitete ab	haben_abgearbeitet
eingeben	gibt ein	gäbe ein	haben_eingegeben
hinterlassen	hinterlässt	hinterließe	haben_hinterlassen
stinken	stinkt	stänke	haben_gestunken
belegen	belegt	belegte	haben_belegt
aufgeben	gibt auf	gäbe auf	haben_aufgegeben
widerfahren	widerfährt	widerführe	sein_widerfahren
erfinden	erfindet	erfände	haben_erfunden
anmachen	macht an	machte an	haben_angemacht
aberkennen	erkennt ab	erkennte ab	haben_aberkannt
abfahren	fährt ab	führe ab	sein_abgefahren
bedenken	bedenkt	bedächte	haben_bedacht
umfahren	umfährt	umführe	haben_umfahren
benedeien	benedeit	benedeite	haben_gebenedeit
anhalten	hält an	hielte an	haben_angehalten
legen	legt	legte	haben_gelegt
fragen	fragt	fragte	haben_gefragt
erfragen	erfragt	erfragte	haben_erfragt
befragen	befragt	befragte	haben_befragt
erhalten	erhält	erhielte	haben_erhalten
führen	führt	führte	haben_geführt
sollen	soll	sollte	haben_gesollt
bilden	bildet	bildete	haben_gebildet
befinden	befindet	befände	haben_befunden
bestehen	besteht	bestände	haben_bestanden
erreichen	erreicht	erreichte	haben_erreicht
stellen	stellt	stellte	haben_gestellt
bedeuten	bedeutet	bedeutete	haben_bedeutet
darstellen	stellt dar	stellte dar	haben_dargestellt
enthalten	enthält	enthielte	haben_enthalten
entstehen	entsteht	entstände	sein_entstanden
zeigen	zeigt	zeigte	haben_gezeigt
gelten	gilt	gälte	haben_gegolten
bleiben	bleibt	bliebe	sein_geblieben
besitzen	besitzt	besäße	haben_besessen
dürfen	darf	dürfte	haben_gedurft
halten	hält	hielte	haben_gehalten
erkennen	erkennt	erkennte	haben_erkannt
gebrauchen	gebraucht	gebrauchte	haben_gebraucht
brauchen	braucht	brauchte	haben_gebraucht
bieten	bietet	böte	haben_geboten
entsprechen	entspricht	entspräche	haben_entsprochen
ergeben	ergibt	ergäbe	haben_ergeben
erscheinen	erscheint	erschiene	sein_erschienen
verlassen	verlässt	verließe	haben_verlassen
entwickeln	entwickelt	entwickelte	haben_entwickelt
setzen	setzt	setzte	haben_gesetzt
studieren	studiert	studierte	haben_studiert
erfolgen	erfolgt	erfolgte	sein_erfolgt
versuchen	versucht	versuchte	haben_versucht
aufkommen	kommt auf	käme auf	sein_aufgekommen
treffen	trifft	träfe	haben_getroffen
folgen	folgt	folgte	sein_gefolgt
versehen	versieht	versähe	haben_versehen
nennen	nennt	nennte	haben_genannt
